District.Name,life_exp,pop,births_per,unemployed_score,deaths_score
Ciutat Vella,0.0,0.10496629298796523,0.943119884353866,0.0,1.0
Eixample,0.5847382431233399,1.0,0.0,0.6400570382961018,0.15838173724787508
Gràcia,0.5371783496007083,0.2132192230303228,0.8638045797474536,0.5964716566793636,0.3767423831970427
Horta-Guinardó,0.47542147293700054,0.4703145083874327,0.09537463738330665,0.4330135306640953,0.0
Les Corts,1.0,0.0,0.08343588059066676,0.6964928452893082,0.513026046647727
Nou Barris,0.23609309944713885,0.45853468052911606,1.0,0.16169925384854678,0.07551524863209824
Sant Andreu,0.6095829636202303,0.35556965663862716,0.7308572892082257,0.36769208809111864,0.6402575192036242
Sant Martí,0.6545400769003287,0.8323977807064642,0.8158413265460371,0.36597170502981113,0.7144279375848908
Sants-Montjuïc,0.5137533274179269,0.5416822592104479,0.3772999202961369,0.3786796020195825,0.38274303768711926
Sarrià-Sant Gervasi,0.6503992901508404,0.3647082431677541,0.6978503778112817,1.0,0.5881775587887534
Mean,0.5261706823197514,0.43413926446581297,0.5607583895936974,0.4640077719917928,0.44492714689891305
