,Neighborhood,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,Gender,District.Name,Neighborhood.Name
0,el Raval,87.5,84.9,84.7,84.9,85.3,Female,Ciutat Vella,el Raval
1,el Raval,77.9,75.1,75.7,76.2,76.5,Male,Ciutat Vella,el Raval
2,el Barri Gòtic,88.0,84.3,84.4,87.5,84.4,Female,Ciutat Vella,el Barri Gòtic
3,el Barri Gòtic,81.3,78.6,78.9,79.5,78.7,Male,Ciutat Vella,el Barri Gòtic
4,la Barceloneta,88.2,85.3,84.4,86.3,84.7,Female,Ciutat Vella,la Barceloneta
5,la Barceloneta,78.3,75.0,75.8,78.6,75.9,Male,Ciutat Vella,la Barceloneta
6,"Sant Pere, Santa Caterina i la Ribera",88.9,85.9,86.1,85.5,85.3,Female,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
7,"Sant Pere, Santa Caterina i la Ribera",80.9,78.0,77.7,78.8,78.3,Male,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
8,el Fort Pienc,89.7,87.1,87.2,87.7,86.7,Female,Eixample,el Fort Pienc
9,el Fort Pienc,83.0,80.7,80.9,80.2,81.4,Male,Eixample,el Fort Pienc
10,la Sagrada Família,88.9,86.6,86.8,85.1,87.2,Female,Eixample,la Sagrada Família
11,la Sagrada Família,83.2,80.6,81.0,79.2,81.3,Male,Eixample,la Sagrada Família
12,la Dreta de l'Eixample,87.0,85.0,85.1,85.7,85.1,Female,Eixample,la Dreta de l'Eixample
13,la Dreta de l'Eixample,81.2,78.9,79.3,79.1,80.1,Male,Eixample,la Dreta de l'Eixample
14,l'Antiga Esquerra de l'Eixample,88.9,86.4,86.3,85.8,86.9,Female,Eixample,l'Antiga Esquerra de l'Eixample
15,l'Antiga Esquerra de l'Eixample,82.3,79.8,80.3,80.3,80.8,Male,Eixample,l'Antiga Esquerra de l'Eixample
16,la Nova Esquerra de l'Eixample,90.0,87.4,87.5,87.0,88.7,Female,Eixample,la Nova Esquerra de l'Eixample
17,la Nova Esquerra de l'Eixample,82.1,79.9,80.0,81.4,81.0,Male,Eixample,la Nova Esquerra de l'Eixample
18,Sant Antoni,89.0,86.3,86.5,86.0,87.6,Female,Eixample,Sant Antoni
19,Sant Antoni,81.7,79.3,79.4,80.9,79.8,Male,Eixample,Sant Antoni
20,la Marina de Port,88.5,86.2,86.5,88.1,87.7,Female,Sants-Montjuïc,la Marina de Port
21,la Marina de Port,83.1,80.3,79.9,83.0,80.0,Male,Sants-Montjuïc,la Marina de Port
22,la Font de la Guatlla,88.7,85.7,85.1,88.4,84.3,Female,Sants-Montjuïc,la Font de la Guatlla
23,la Font de la Guatlla,81.5,77.9,78.1,84.2,78.8,Male,Sants-Montjuïc,la Font de la Guatlla
24,Hostafrancs,87.5,85.4,86.3,81.7,87.4,Female,Sants-Montjuïc,Hostafrancs
